KO	Function	Pathway	Enzyme	Modules	Hyperlink
K09103	EBF, COE; early B-cell factor				http://rest.kegg.jp/get/K09103
K09104	TX; delilah				http://rest.kegg.jp/get/K09104
K09105	TFE3; transcription factor E3	map04137(Mitophagy - animal); map05202(Transcriptional misregulation in cancer); map05211(Renal cell carcinoma)			http://rest.kegg.jp/get/K09105
K09106	USF; upstream stimulatory factor				http://rest.kegg.jp/get/K09106
K09107	SREBP2, SREBF2; sterol regulatory element-binding transcription factor 2				http://rest.kegg.jp/get/K09107
K09108	TFAP4; transcription factor AP-4	map05205(Proteoglycans in cancer)			http://rest.kegg.jp/get/K09108
K09109	NMYC, MYCN; N-myc proto-oncogene protein	map05202(Transcriptional misregulation in cancer)			http://rest.kegg.jp/get/K09109
K09110	LMYC, MYCL; L-myc proto-oncogene protein				http://rest.kegg.jp/get/K09110
K09111	BMYC, MYCB; brain expressed myelocytomatosis oncogene				http://rest.kegg.jp/get/K09111
K09112	SMYC, MYCS; myc-like oncogene				http://rest.kegg.jp/get/K09112
K09113	MLX; MAX-like protein X	map04931(Insulin resistance); map04932(Non-alcoholic fatty liver disease (NAFLD))			http://rest.kegg.jp/get/K09113
K09114	MXD, MAD; MAX dimerization protein				http://rest.kegg.jp/get/K09114
K09115	MNT, ROX; MAX-binding protein				http://rest.kegg.jp/get/K09115
K09116	K09116; uncharacterized protein				http://rest.kegg.jp/get/K09116
K09117	K09117; uncharacterized protein				http://rest.kegg.jp/get/K09117
K09118	K09118; uncharacterized protein				http://rest.kegg.jp/get/K09118
K09119	cgi121; KEOPS complex subunit Cgi121				http://rest.kegg.jp/get/K09119
K09120	K09120; uncharacterized protein				http://rest.kegg.jp/get/K09120
K09121	larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase		EC:4.99.1.12		http://rest.kegg.jp/get/K09121
K09122	K09122; uncharacterized protein				http://rest.kegg.jp/get/K09122
K09123	lhpI; cis-L-3-hydroxyproline dehydratase	map00330(Arginine and proline metabolism)	EC:4.2.1.171		http://rest.kegg.jp/get/K09123
K09124	K09124; uncharacterized protein				http://rest.kegg.jp/get/K09124
K09125	K09125; uncharacterized protein				http://rest.kegg.jp/get/K09125
K09126	K09126; uncharacterized protein				http://rest.kegg.jp/get/K09126
K09127	cmr3; CRISPR-associated protein Cmr3				http://rest.kegg.jp/get/K09127
K09128	K09128; uncharacterized protein				http://rest.kegg.jp/get/K09128
K09129	K09129; uncharacterized protein				http://rest.kegg.jp/get/K09129
K09130	K09130; uncharacterized protein				http://rest.kegg.jp/get/K09130
K09131	K09131; uncharacterized protein				http://rest.kegg.jp/get/K09131
K09132	K09132; uncharacterized protein				http://rest.kegg.jp/get/K09132
K09133	K09133; uncharacterized protein				http://rest.kegg.jp/get/K09133
K09134	flA; adenosyl-fluoride synthase		EC:2.5.1.63		http://rest.kegg.jp/get/K09134
K09135	K09135; uncharacterized protein				http://rest.kegg.jp/get/K09135
K09136	ycaO; ribosomal protein S12 methylthiotransferase accessory factor				http://rest.kegg.jp/get/K09136
K09137	K09137; uncharacterized protein				http://rest.kegg.jp/get/K09137
K09138	K09138; uncharacterized protein				http://rest.kegg.jp/get/K09138
K09139	K09139; uncharacterized protein				http://rest.kegg.jp/get/K09139
K09140	TSR3; pre-rRNA-processing protein TSR3				http://rest.kegg.jp/get/K09140
K09141	K09141; uncharacterized protein				http://rest.kegg.jp/get/K09141
K09142	K09142; uncharacterized protein				http://rest.kegg.jp/get/K09142
K09143	K09143; uncharacterized protein				http://rest.kegg.jp/get/K09143
K09144	K09144; uncharacterized protein				http://rest.kegg.jp/get/K09144
K09145	K09145; uncharacterized protein				http://rest.kegg.jp/get/K09145
K09146	K09146; uncharacterized protein				http://rest.kegg.jp/get/K09146
K09147	K09147; uncharacterized protein				http://rest.kegg.jp/get/K09147
K09148	K09148; uncharacterized protein				http://rest.kegg.jp/get/K09148
K09149	K09149; uncharacterized protein				http://rest.kegg.jp/get/K09149
K09150	K09150; uncharacterized protein				http://rest.kegg.jp/get/K09150
K09152	K09152; uncharacterized protein				http://rest.kegg.jp/get/K09152
K09153	K09153; uncharacterized protein				http://rest.kegg.jp/get/K09153
K09154	K09154; uncharacterized protein				http://rest.kegg.jp/get/K09154
K09155	K09155; uncharacterized protein				http://rest.kegg.jp/get/K09155
K09156	cheF; taxis protein CheF				http://rest.kegg.jp/get/K09156
K09157	K09157; uncharacterized protein				http://rest.kegg.jp/get/K09157
K09158	K09158; uncharacterized protein				http://rest.kegg.jp/get/K09158
K09159	cptB; antitoxin CptB				http://rest.kegg.jp/get/K09159
K09160	K09160; uncharacterized protein				http://rest.kegg.jp/get/K09160
K09161	K09161; uncharacterized protein				http://rest.kegg.jp/get/K09161
K09162	cld; chlorite dismutase		EC:1.13.11.49		http://rest.kegg.jp/get/K09162
K09163	K09163; uncharacterized protein				http://rest.kegg.jp/get/K09163
K09164	K09164; uncharacterized protein				http://rest.kegg.jp/get/K09164
K09165	K09165; uncharacterized protein				http://rest.kegg.jp/get/K09165
K09166	K09166; uncharacterized protein				http://rest.kegg.jp/get/K09166
K09167	K09167; uncharacterized protein				http://rest.kegg.jp/get/K09167
K09168	NFIA; nuclear factor I/A				http://rest.kegg.jp/get/K09168
K09169	NFIB; nuclear factor I/B				http://rest.kegg.jp/get/K09169
K09170	NFIC; nuclear factor I/C				http://rest.kegg.jp/get/K09170
K09171	NFIX; nuclear factor I/X				http://rest.kegg.jp/get/K09171
K09172	NFIN; nuclear factor I, invertebrate				http://rest.kegg.jp/get/K09172
K09173	RFX1_2_3; regulatory factor X 1/2/3				http://rest.kegg.jp/get/K09173
K09174	RFX4; regulatory factor X 4				http://rest.kegg.jp/get/K09174
K09175	RFXX; regulatory factor X, other	map04111(Cell cycle - yeast)			http://rest.kegg.jp/get/K09175
K09176	TFAP2A_B; transcription factor AP-2 alpha/beta				http://rest.kegg.jp/get/K09176
K09177	TFAP2C; transcription factor AP-2 gamma				http://rest.kegg.jp/get/K09177
K09178	TFAP2D; transcription factor AP-2 delta				http://rest.kegg.jp/get/K09178
K09179	TFAP2E; transcription factor AP-2 epsilon				http://rest.kegg.jp/get/K09179
K09180	TFAP2N; transcription factor AP-2, invertebrate				http://rest.kegg.jp/get/K09180
K09181	yfiQ; acetyltransferase				http://rest.kegg.jp/get/K09181
K09182	GATA1; GATA-binding protein 1				http://rest.kegg.jp/get/K09182
K09183	GATA4; GATA-binding protein 4	map04022(cGMP-PKG signaling pathway); map04218(Cellular senescence); map04530(Tight junction); map04919(Thyroid hormone signaling pathway)			http://rest.kegg.jp/get/K09183
K09184	GATAF; GATA-binding protein, other eukaryote				http://rest.kegg.jp/get/K09184
K09185	NR6AN; nuclear receptor subfamily 6 group A				http://rest.kegg.jp/get/K09185
K09186	MLL1; histone-lysine N-methyltransferase MLL1	map00310(Lysine degradation); map04934(Cushing's syndrome); map05202(Transcriptional misregulation in cancer)	EC:2.1.1.43		http://rest.kegg.jp/get/K09186
K09187	MLL2, ALR; histone-lysine N-methyltransferase MLL2	map00310(Lysine degradation); map04934(Cushing's syndrome)	EC:2.1.1.43		http://rest.kegg.jp/get/K09187
K09188	MLL3; histone-lysine N-methyltransferase MLL3	map00310(Lysine degradation)	EC:2.1.1.43		http://rest.kegg.jp/get/K09188
K09189	MLL5; histone-lysine N-methyltransferase MLL5	map00310(Lysine degradation)	EC:2.1.1.43		http://rest.kegg.jp/get/K09189
K09190	K09190; uncharacterized protein				http://rest.kegg.jp/get/K09190
K09191	GTF3A; general transcription factor IIIA				http://rest.kegg.jp/get/K09191
K09192	SP2; transcription factor Sp2				http://rest.kegg.jp/get/K09192
K09193	SP3; transcription factor Sp3				http://rest.kegg.jp/get/K09193
K09194	SP4; transcription factor Sp4				http://rest.kegg.jp/get/K09194
K09195	SP5; transcription factor Sp5				http://rest.kegg.jp/get/K09195
K09196	SP6; transcription factor Sp6				http://rest.kegg.jp/get/K09196
K09197	SP7; transcription factor Sp7				http://rest.kegg.jp/get/K09197
K09198	SP8; transcription factor Sp8				http://rest.kegg.jp/get/K09198
K09199	SP9; transcription factor Sp9				http://rest.kegg.jp/get/K09199
K09200	SP-N; transcription factor Sp, invertebrate				http://rest.kegg.jp/get/K09200
K09201	YY; transcription factor YY				http://rest.kegg.jp/get/K09201
K09202	SWI5; regulatory protein SWI5	map04111(Cell cycle - yeast)			http://rest.kegg.jp/get/K09202
K09203	EGR1; early growth response protein 1	map04371(Apelin signaling pathway); map04912(GnRH signaling pathway); map04928(Parathyroid hormone synthesis, secretion and action); map04933(AGE-RAGE signaling pathway in diabetic complications); map05020(Prion diseases); map05166(HTLV-I infection)			http://rest.kegg.jp/get/K09203
K09204	KLF1; krueppel-like factor 1				http://rest.kegg.jp/get/K09204
K09205	KLF8_12; krueppel-like factor 8/12				http://rest.kegg.jp/get/K09205
K09206	KLF5; krueppel-like factor 5				http://rest.kegg.jp/get/K09206
K09207	KLF6_7; krueppel-like factor 6/7				http://rest.kegg.jp/get/K09207
K09208	KLF9S, BTEB; krueppel-like factor 9/13/14/16				http://rest.kegg.jp/get/K09208
K09209	KLF10_11, TIEG; krueppel-like factor 10/11				http://rest.kegg.jp/get/K09209
K09210	KLF15; krueppel-like factor 15				http://rest.kegg.jp/get/K09210
K09211	KLF17; krueppel-like factor 17				http://rest.kegg.jp/get/K09211
K09213	HB; hunchback				http://rest.kegg.jp/get/K09213
K09214	GL; glass				http://rest.kegg.jp/get/K09214
K09215	OSR, ODD; odd-skipped				http://rest.kegg.jp/get/K09215
K09216	OVOL; ovo				http://rest.kegg.jp/get/K09216
K09217	SNAI3; snail 3				http://rest.kegg.jp/get/K09217
K09219	SCRT; scratch				http://rest.kegg.jp/get/K09219
K09220	IKZF, ZNFN1A; IKAROS family zinc finger protein				http://rest.kegg.jp/get/K09220
K09221	MZF1; myeloid zinc finger protein 1				http://rest.kegg.jp/get/K09221
K09222	REST; RE1-silencing transcription factor	map04550(Signaling pathways regulating pluripotency of stem cells); map05016(Huntington's disease)			http://rest.kegg.jp/get/K09222
K09223	GFI1; growth factor independent 1				http://rest.kegg.jp/get/K09223
K09224	ZIC1; zinc finger protein ZIC 1				http://rest.kegg.jp/get/K09224
K09225	ZIC4; zinc finger protein ZIC 4				http://rest.kegg.jp/get/K09225
K09226	ZIC5; zinc finger protein ZIC 5				http://rest.kegg.jp/get/K09226
K09227	ZICN; zinc finger protein ZIC, invertebrate				http://rest.kegg.jp/get/K09227
K09228	KRAB; KRAB domain-containing zinc finger protein				http://rest.kegg.jp/get/K09228
K09229	ZKSCAN; KRAB and SCAN domains-containing zinc finger protein				http://rest.kegg.jp/get/K09229
K09230	SCAN; SCAN domain-containing zinc finger protein				http://rest.kegg.jp/get/K09230
K09231	KR; krueppel				http://rest.kegg.jp/get/K09231
K09232	GLIS1_3; zinc finger protein GLIS1/3				http://rest.kegg.jp/get/K09232
K09233	GLIS2; zinc finger protein GLIS2				http://rest.kegg.jp/get/K09233
K09234	WT1; Wilms tumor protein 1	map05202(Transcriptional misregulation in cancer)			http://rest.kegg.jp/get/K09234
K09235	RME1; zinc finger protein RME1	map04113(Meiosis - yeast)			http://rest.kegg.jp/get/K09235
K09236	TSHZ; teashirt	map04391(Hippo signaling pathway - fly)			http://rest.kegg.jp/get/K09236
K09237	TTK; tramtrack	map04013(MAPK signaling pathway - fly)			http://rest.kegg.jp/get/K09237
K09238	ACE2; metallothionein expression activator				http://rest.kegg.jp/get/K09238
K09239	HIVEP; human immunodeficiency virus type I enhancer-binding protein				http://rest.kegg.jp/get/K09239
K09240	CAT8; transcriptional regulatory protein CAT8				http://rest.kegg.jp/get/K09240
K09241	GAL4; transcriptional regulatory protein GAL4				http://rest.kegg.jp/get/K09241
K09242	LEU3; transcriptional regulatory protein LEU3				http://rest.kegg.jp/get/K09242
K09243	UME6; transcriptional regulatory protein UME6	map04113(Meiosis - yeast); map04138(Autophagy - yeast); map04139(Mitophagy - yeast)			http://rest.kegg.jp/get/K09243
K09244	AMDR; transcriptional regulatory protein AMDR				http://rest.kegg.jp/get/K09244
K09245	UGA3; transcriptional activator protein UGA3				http://rest.kegg.jp/get/K09245
K09246	ARG81, ARGR2; arginine metabolism regulation protein II				http://rest.kegg.jp/get/K09246
K09247	CYP1, HAP1; heme activator protein 1				http://rest.kegg.jp/get/K09247
K09248	PUT3; proline utilization trans-activator				http://rest.kegg.jp/get/K09248
K09249	ABF1, BAF1; ARS-binding factor 1			M00692	http://rest.kegg.jp/get/K09249
K09250	CNBP; cellular nucleic acid-binding protein				http://rest.kegg.jp/get/K09250
K09251	patA; putrescine aminotransferase	map00330(Arginine and proline metabolism); map01100(Metabolic pathways)	EC:2.6.1.82		http://rest.kegg.jp/get/K09251
K09252	FAEB; feruloyl esterase		EC:3.1.1.73		http://rest.kegg.jp/get/K09252
K09253	RELB; transcription factor RelB	map04010(MAPK signaling pathway); map04064(NF-kappa B signaling pathway); map04380(Osteoclast differentiation); map04625(C-type lectin receptor signaling pathway); map05166(HTLV-I infection); map05169(Epstein-Barr virus infection)			http://rest.kegg.jp/get/K09253
K09254	REL; c-Rel proto-oncogene protein	map04014(Ras signaling pathway); map04624(Toll and Imd signaling pathway); map05202(Transcriptional misregulation in cancer); map05203(Viral carcinogenesis)			http://rest.kegg.jp/get/K09254
K09256	NFKBIL1; NF-kappa-B inhibitor-like protein 1				http://rest.kegg.jp/get/K09256
K09257	NFKBIL2; NF-kappa-B inhibitor-like protein 2				http://rest.kegg.jp/get/K09257
K09258	BCL3; B-cell CLL/lymphoma protein 3	map04625(C-type lectin receptor signaling pathway); map04668(TNF signaling pathway)			http://rest.kegg.jp/get/K09258
K09260	MEF2A; MADS-box transcription enhancer factor 2A	map04013(MAPK signaling pathway - fly); map04022(cGMP-PKG signaling pathway); map04371(Apelin signaling pathway); map04928(Parathyroid hormone synthesis, secretion and action); map05418(Fluid shear stress and atherosclerosis)			http://rest.kegg.jp/get/K09260
K09261	MEF2B; MADS-box transcription enhancer factor 2B	map04022(cGMP-PKG signaling pathway); map04371(Apelin signaling pathway)			http://rest.kegg.jp/get/K09261
K09262	MEF2D; MADS-box transcription enhancer factor 2D	map04022(cGMP-PKG signaling pathway); map04371(Apelin signaling pathway); map04928(Parathyroid hormone synthesis, secretion and action)			http://rest.kegg.jp/get/K09262
K09264	K09264; MADS-box transcription factor, plant				http://rest.kegg.jp/get/K09264
K09265	RLM1; transcription factor RLM1	map04011(MAPK signaling pathway - yeast)			http://rest.kegg.jp/get/K09265
K09266	SRY; sex-determining region Y protein (SOX group A)				http://rest.kegg.jp/get/K09266
K09267	SOX1S; transcription factor SOX1/3/14/21 (SOX group B)				http://rest.kegg.jp/get/K09267
K09268	SOX4_11_12; transcription factor SOX4/11/12 (SOX group C)				http://rest.kegg.jp/get/K09268
K09269	SOX5_6_13; transcription factor SOX5/6/13 (SOX group D)				http://rest.kegg.jp/get/K09269
K09270	SOX7S; transcription factor SOX7/8/10/18 (SOX group E/F)				http://rest.kegg.jp/get/K09270
K09271	SOX15_30; transcription factor SOX15/30				http://rest.kegg.jp/get/K09271
K09272	SSRP1; structure-specific recognition protein 1				http://rest.kegg.jp/get/K09272
K09273	UBTF; upstream-binding transcription factor				http://rest.kegg.jp/get/K09273
K09274	K09274; HMG box factor, other				http://rest.kegg.jp/get/K09274
K09275	TFCP2; transcription factor CP2 and related proteins				http://rest.kegg.jp/get/K09275
K09276	YBX1, NSEP1; Y-box-binding protein 1				http://rest.kegg.jp/get/K09276
K09277	YBX2; Y-box-binding protein 2				http://rest.kegg.jp/get/K09277
K09278	RUNX2, AML3; runt-related transcription factor 2	map04928(Parathyroid hormone synthesis, secretion and action); map05202(Transcriptional misregulation in cancer)			http://rest.kegg.jp/get/K09278
K09279	RUNX3, AML2; runt-related transcription factor 3	map04658(Th1 and Th2 cell differentiation)			http://rest.kegg.jp/get/K09279
K09280	RUNXA_B; runt-related transcription factor				http://rest.kegg.jp/get/K09280
K09281	K09281; copper-fist transcription factor				http://rest.kegg.jp/get/K09281
K09282	HMGA1; high mobility group AT-hook protein 1				http://rest.kegg.jp/get/K09282
K09283	HMGA2; high mobility group AT-hook protein 2	map05202(Transcriptional misregulation in cancer); map05206(MicroRNAs in cancer)			http://rest.kegg.jp/get/K09283
K09284	AP2; AP2-like factor, euAP2 lineage				http://rest.kegg.jp/get/K09284
K09285	OVM, ANT; AP2-like factor, ANT lineage				http://rest.kegg.jp/get/K09285
K09286	EREBP; EREBP-like factor				http://rest.kegg.jp/get/K09286
K09287	RAV; RAV-like factor				http://rest.kegg.jp/get/K09287
K09288	CCDC6, PTC; coiled-coil domain-containing protein 6	map05200(Pathways in cancer); map05216(Thyroid cancer)			http://rest.kegg.jp/get/K09288
K09289	NCOA4, PTC3; nuclear receptor coactivator 4	map04216(Ferroptosis); map05200(Pathways in cancer); map05216(Thyroid cancer)			http://rest.kegg.jp/get/K09289
K09290	TPM3; tropomyosin 3	map04260(Cardiac muscle contraction); map04261(Adrenergic signaling in cardiomyocytes); map05200(Pathways in cancer); map05216(Thyroid cancer); map05410(Hypertrophic cardiomyopathy (HCM)); map05414(Dilated cardiomyopathy (DCM))			http://rest.kegg.jp/get/K09290
K09291	TPR, MLP1, MLP2; nucleoprotein TPR	map03013(RNA transport); map05200(Pathways in cancer); map05216(Thyroid cancer)		M00427	http://rest.kegg.jp/get/K09291
